Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Pt_Chr0100001	specific	440860	112	193	3.1456e-17	75.8014	COG1247	MnaT	N	cl43365
Pt_Chr0100002	specific	438821	43	103	1.05842e-18	75.0376	cd22005	HMG-box_AtHMGB1-like	 - 	cl00082
Pt_Chr0100005	superfamily	459239	6	44	1.51859e-06	44.3749	cl45894	F-box_SF superfamily	 - 	 - 
Pt_Chr0100006	superfamily	459239	6	44	1.34533e-06	44.3749	cl45894	F-box_SF superfamily	 - 	 - 
Pt_Chr0100007	specific	461729	1	253	1.96457e-94	278.372	pfam05742	TANGO2	 - 	cl01315
Pt_Chr0100008	specific	411767	127	212	1.0131e-26	99.4825	cd22363	tRNA-intron_lyase_C	 - 	cl40440
Pt_Chr0100008	superfamily	480673	38	215	9.41271e-17	75.6286	cl46333	tRNA_int_end_N2 superfamily	 - 	 - 
Pt_Chr0100009	specific	461590	89	369	4.34644e-164	460.888	pfam05212	DUF707	 - 	cl04990
Pt_Chr0100010	superfamily	472172	306	519	4.79333e-23	98.5813	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Pt_Chr0100011	superfamily	472172	298	512	8.80591e-26	106.285	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Pt_Chr0100014	superfamily	463515	176	287	4.03993e-11	58.91	cl13680	DUF3615 superfamily	 - 	 - 
Pt_Chr0100015	superfamily	471005	32	166	1.37458e-17	75.0942	cl04375	PMEI_like superfamily	 - 	 - 
Pt_Chr0100018	specific	215328	1	492	0	1052.03	PLN02609	PLN02609	 - 	cl29003
Pt_Chr0100023	specific	436239	5	88	7.75548e-16	70.763	pfam18052	Rx_N	 - 	cl36576
Pt_Chr0100023	superfamily	395745	180	237	0.00431652	37.3588	cl26397	NB-ARC superfamily	C	 - 
Pt_Chr0100024	superfamily	215061	81	159	1.61852e-12	64.0988	cl33413	PLN00113 superfamily	C	 - 
Pt_Chr0100025	specific	436239	26	109	1.79232e-15	72.3038	pfam18052	Rx_N	 - 	cl36576
Pt_Chr0100025	superfamily	395745	201	436	5.02848e-13	69.3304	cl26397	NB-ARC superfamily	 - 	 - 
Pt_Chr0100025	superfamily	443914	618	704	5.37664e-06	49.547	cl34836	LRR superfamily	NC	 - 
Pt_Chr0100026	superfamily	215061	111	185	9.35231e-12	62.9432	cl33413	PLN00113 superfamily	C	 - 
Pt_Chr0100027	specific	436239	5	88	2.29988e-15	71.9186	pfam18052	Rx_N	 - 	cl36576
Pt_Chr0100027	superfamily	395745	180	415	8.72854e-11	62.782	cl26397	NB-ARC superfamily	 - 	 - 
Pt_Chr0100027	superfamily	443914	596	682	4.93823e-06	49.547	cl34836	LRR superfamily	NC	 - 
Pt_Chr0100028	superfamily	215061	15	217	5.37596e-34	128.042	cl33413	PLN00113 superfamily	C	 - 
Pt_Chr0100035	superfamily	129965	11	512	0	713.426	cl31035	2A0109 superfamily	 - 	 - 
Pt_Chr0100037	superfamily	469716	15	48	0.00455092	34.0193	cl00314	rpsJ superfamily	NC	 - 
Pt_Chr0100038	superfamily	129965	1015	1516	0	709.574	cl31035	2A0109 superfamily	 - 	 - 
Pt_Chr0100038	superfamily	129965	6	507	0	709.574	cl31035	2A0109 superfamily	 - 	 - 
Pt_Chr0100038	superfamily	129965	514	1008	0	630.223	cl31035	2A0109 superfamily	 - 	 - 
Pt_Chr0100039	superfamily	469581	95	202	8.04173e-62	200.154	cl00019	Macro_SF superfamily	C	 - 
Pt_Chr0100039	specific	463965	366	499	1.46042e-31	118.584	pfam13716	CRAL_TRIO_2	 - 	cl48223
Pt_Chr0100040	specific	396791	238	357	1.23019e-43	154.378	pfam02373	JmjC	 - 	cl40423
Pt_Chr0100040	specific	460542	19	52	4.62008e-12	61.5371	pfam02375	JmjN	 - 	cl15840
Pt_Chr0100040	specific	463886	1452	1474	0.00757469	35.4248	pfam13465	zf-H2C2_2	 - 	cl22375
Pt_Chr0100042	superfamily	459239	29	66	1.5277e-06	44.6191	cl45894	F-box_SF superfamily	 - 	 - 
Pt_Chr0100043	specific	440860	109	190	6.42726e-18	77.7274	COG1247	MnaT	N	cl43365
Pt_Chr0100044	superfamily	236304	360	563	0.0086351	39.0007	cl35718	PRK08581 superfamily	C	 - 
Pt_Chr0100045	specific	396791	237	356	1.22933e-43	154.378	pfam02373	JmjC	 - 	cl40423
Pt_Chr0100045	specific	460542	19	52	4.617e-12	61.5371	pfam02375	JmjN	 - 	cl15840
Pt_Chr0100045	specific	463886	1451	1473	0.00742229	35.4248	pfam13465	zf-H2C2_2	 - 	cl22375
Pt_Chr0100047	specific	440860	112	193	4.70055e-18	78.1126	COG1247	MnaT	N	cl43365
Pt_Chr0100048	specific	440860	109	190	1.42746e-17	76.1866	COG1247	MnaT	N	cl43365
Pt_Chr0100049	specific	440860	113	193	4.01795e-18	78.1126	COG1247	MnaT	N	cl43365
Pt_Chr0100050	specific	238121	392	688	3.44559e-56	196.017	cd00200	WD40	 - 	cl29593
Pt_Chr0100050	specific	441893	11	606	9.33923e-44	163.929	COG2319	WD40	 - 	cl43672
Pt_Chr0100050	specific	461125	789	922	2.57065e-19	84.1376	pfam04003	Utp12	 - 	cl23538
Pt_Chr0100052	superfamily	274044	30	149	1.17377e-26	97.6846	cl37079	sigpep_I_bact superfamily	 - 	 - 
Pt_Chr0100053	superfamily	470404	641	817	4.63581e-56	190.722	cl01947	MT-A70 superfamily	 - 	 - 
Pt_Chr0100053	superfamily	312941	394	574	0.000153602	45.3844	cl26621	Med15 superfamily	C	 - 
Pt_Chr0100053	superfamily	237171	98	319	0.000356243	44.1243	cl36163	PRK12678 superfamily	C	 - 
Pt_Chr0100054	superfamily	473875	1	559	0	553.449	cl21473	ArsB_NhaD_permease superfamily	 - 	 - 
Pt_Chr0100057	specific	462774	60	220	2.29621e-50	161.123	pfam09366	DUF1997	 - 	cl09620
Pt_Chr0100058	superfamily	215283	8	528	0	965.486	cl33508	PLN02518 superfamily	 - 	 - 
Pt_Chr0100060	superfamily	477363	212	305	1.33527e-26	103.91	cl40470	ps-ssRNAv_RdRp-like superfamily	C	 - 
Pt_Chr0100061	specific	177664	1	251	3.41711e-141	396.079	PLN00027	PLN00027	 - 	cl00200
Pt_Chr0100062	superfamily	215587	17	156	8.6926e-88	255.365	cl30518	PLN03118 superfamily	N	 - 
Pt_Chr0100063	superfamily	440430	50	127	7.26335e-10	55.7305	cl34000	ANKYR superfamily	NC	 - 
Pt_Chr0100064	superfamily	475233	135	393	2.57069e-16	78.5308	cl29593	WD40 superfamily	 - 	 - 
Pt_Chr0100064	specific	214632	25	43	0.00187602	35.2977	smart00356	ZnF_C3H1	 - 	cl47037
Pt_Chr0100064	superfamily	223021	46	149	0.00897143	38.3809	cl33720	PHA03247 superfamily	N	 - 
Pt_Chr0100067	specific	130848	16	440	0	758.479	TIGR01788	Glu-decarb-GAD	 - 	cl18945
Pt_Chr0100070	superfamily	450240	1	343	0	602.088	cl18945	AAT_I superfamily	N	 - 
Pt_Chr0100071	specific	238121	392	688	3.0634e-56	196.017	cd00200	WD40	 - 	cl29593
Pt_Chr0100071	specific	441893	11	606	2.77842e-44	165.469	COG2319	WD40	 - 	cl43672
Pt_Chr0100071	specific	461125	789	921	6.51085e-21	88.3747	pfam04003	Utp12	 - 	cl23538
Pt_Chr0100073	specific	274044	30	149	7.45385e-27	98.455	TIGR02227	sigpep_I_bact	 - 	cl37079
Pt_Chr0100074	superfamily	470404	509	685	2.23971e-56	190.337	cl01947	MT-A70 superfamily	 - 	 - 
Pt_Chr0100074	superfamily	312941	246	442	6.24729e-05	46.54	cl26621	Med15 superfamily	C	 - 
Pt_Chr0100074	superfamily	237171	26	187	0.00044871	43.7391	cl36163	PRK12678 superfamily	C	 - 
Pt_Chr0100075	superfamily	473875	1	559	0	553.449	cl21473	ArsB_NhaD_permease superfamily	 - 	 - 
Pt_Chr0100077	specific	462774	60	220	1.62148e-50	161.508	pfam09366	DUF1997	 - 	cl09620
Pt_Chr0100078	superfamily	215283	3	531	0	967.027	cl33508	PLN02518 superfamily	 - 	 - 
Pt_Chr0100079	specific	215027	1	73	1.03274e-51	156.638	PLN00010	PLN00010	 - 	cl03104
Pt_Chr0100080	superfamily	477363	212	305	3.37073e-27	105.836	cl40470	ps-ssRNAv_RdRp-like superfamily	C	 - 
Pt_Chr0100081	specific	177664	1	251	3.41711e-141	396.079	PLN00027	PLN00027	 - 	cl00200
Pt_Chr0100082	superfamily	215587	2	210	6.66931e-127	356.673	cl30518	PLN03118 superfamily	 - 	 - 
Pt_Chr0100083	superfamily	440430	51	127	4.32012e-10	56.5009	cl34000	ANKYR superfamily	NC	 - 
Pt_Chr0100084	specific	441893	133	430	1.13675e-20	93.4372	COG2319	WD40	N	cl43672
Pt_Chr0100084	specific	214632	25	43	0.0021705	35.2977	smart00356	ZnF_C3H1	 - 	cl47037
Pt_Chr0100084	superfamily	223021	46	149	0.00919056	38.7661	cl33720	PHA03247 superfamily	N	 - 
Pt_Chr0100087	specific	466392	295	543	1.96035e-68	221.458	pfam20241	DUF6598	 - 	cl48408
Pt_Chr0100088	specific	214823	603	763	5.14917e-29	114.215	smart00799	DENN	 - 	cl11519
Pt_Chr0100088	specific	129037	832	898	6.58251e-05	41.8918	smart00801	dDENN	 - 	cl04084
Pt_Chr0100088	superfamily	470944	268	344	0.000115852	40.6705	cl04085	uDENN superfamily	 - 	 - 
Pt_Chr0100088	superfamily	236090	56	142	0.00110575	42.6657	cl35613	PRK07764 superfamily	NC	 - 
Pt_Chr0100088	superfamily	235904	65	224	0.00111326	42.6458	cl35529	flhF superfamily	C	 - 
Pt_Chr0100089	superfamily	177816	6	317	1.02491e-89	271.487	cl31834	PLN02156 superfamily	 - 	 - 
Pt_Chr0100091	specific	425605	124	159	2.34411e-14	64.6469	pfam00320	GATA	 - 	cl29608
Pt_Chr0100092	superfamily	215061	39	1011	0	554.073	cl33413	PLN00113 superfamily	 - 	 - 
Pt_Chr0100095	superfamily	471961	18	465	5.86608e-123	365.902	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Pt_Chr0100096	superfamily	473075	107	136	6.96879e-06	42.9526	cl17238	RING_Ubox superfamily	N	 - 
Pt_Chr0100096	specific	438112	12	46	0.00421294	34.6846	cd16448	RING-H2	 - 	cl17238
Pt_Chr0100097	superfamily	471961	15	463	9.19248e-125	370.524	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Pt_Chr0100098	specific	397245	127	469	8.35783e-92	284.318	pfam03016	Exostosin	 - 	cl20239
Pt_Chr0100099	specific	397245	618	952	9.45623e-90	289.326	pfam03016	Exostosin	 - 	cl20239
Pt_Chr0100099	specific	397245	115	458	1.18239e-73	245.413	pfam03016	Exostosin	 - 	cl20239
Pt_Chr0100100	specific	397245	71	410	3.63315e-60	198.804	pfam03016	Exostosin	 - 	cl20239
Pt_Chr0100100	superfamily	420081	427	466	0.00700522	35.723	cl23892	TyeA superfamily	N	 - 
Pt_Chr0100101	superfamily	464352	295	802	8.7559e-125	390.588	cl20765	DUF4487 superfamily	 - 	 - 
Pt_Chr0100102	superfamily	215574	1	932	0	1640.83	cl47077	PIR superfamily	N	 - 
Pt_Chr0100103	superfamily	464352	294	698	1.96653e-79	264.628	cl20765	DUF4487 superfamily	 - 	 - 
Pt_Chr0100104	superfamily	215574	1	335	0	537.614	cl47077	PIR superfamily	C	 - 
Pt_Chr0100105	specific	464133	715	879	2.25007e-31	120.12	pfam14309	DUF4378	 - 	cl16789
Pt_Chr0100105	specific	432630	178	222	7.47546e-20	83.3804	pfam12552	DUF3741	 - 	cl13927
Pt_Chr0100106	specific	341097	11	108	2.53861e-40	134.342	cd17015	ING_plant	 - 	cl28919
Pt_Chr0100106	superfamily	227367	4	239	1.17727e-31	117.346	cl34876	TNG2 superfamily	 - 	 - 
Pt_Chr0100107	specific	239460	35	555	0	870.237	cd03344	GroEL	 - 	cl02777
Pt_Chr0100108	superfamily	178532	31	559	0	700.532	cl31958	PLN02946 superfamily	 - 	 - 
Pt_Chr0100109	superfamily	480629	107	189	0.00338101	36.1561	cl46289	Retrotrans_gag superfamily	N	 - 
Pt_Chr0100110	superfamily	215393	59	383	0	564.153	cl27763	PLN02738 superfamily	N	 - 
Pt_Chr0100113	superfamily	444852	41	76	0.00543297	34.8073	cl00342	Trp-synth-beta_II superfamily	N	 - 
Pt_Chr0100114	specific	433612	2	54	5.34949e-23	85.7873	pfam13966	zf-RVT	N	cl16506
Pt_Chr0100115	specific	173795	120	599	2.38896e-126	380.02	cd04852	Peptidases_S8_3	 - 	cl10459
Pt_Chr0100115	specific	239035	366	494	5.00982e-34	126.374	cd02120	PA_subtilisin_like	 - 	cl28883
Pt_Chr0100115	specific	465493	681	787	9.61706e-34	124.62	pfam17766	fn3_6	 - 	cl05663
Pt_Chr0100115	specific	428674	37	123	5.45631e-19	81.9565	pfam05922	Inhibitor_I9	 - 	cl05470
Pt_Chr0100116	superfamily	427142	219	270	1.16247e-06	45.5346	cl07846	DBD_Tnp_Mut superfamily	 - 	 - 
Pt_Chr0100118	specific	443104	351	493	3.3126e-19	86.4769	COG3897	Nnt1	NC	cl43977
Pt_Chr0100118	specific	400515	77	178	2.06783e-16	74.7117	pfam08242	Methyltransf_12	 - 	cl17173
Pt_Chr0100119	specific	461828	19	548	0	970.934	pfam06101	Vps62	 - 	cl05569
Pt_Chr0100120	specific	213211	193	413	1.11419e-131	378.375	cd03244	ABCC_MRP_domain2	 - 	cl38936
Pt_Chr0100120	superfamily	365789	13	168	5.2793e-43	153.043	cl38913	ABC_6TM_exporters superfamily	C	 - 
Pt_Chr0100121	superfamily	215570	15	116	4.49671e-49	167.461	cl33633	PLN03091 superfamily	C	 - 
Pt_Chr0100122	specific	238743	258	426	1.0059e-54	184.516	cd01466	vWA_C3HC4_type	 - 	cl00057
Pt_Chr0100122	specific	464221	601	674	8.22748e-22	89.594	pfam14624	Vwaint	 - 	cl20594
Pt_Chr0100122	specific	438476	86	135	5.24157e-20	83.7837	cd23114	RING-H2_WAVH2	 - 	cl17238
Pt_Chr0100123	specific	238743	168	339	6.06008e-53	179.123	cd01466	vWA_C3HC4_type	 - 	cl00057
Pt_Chr0100123	specific	438476	7	59	6.29459e-20	83.3985	cd23114	RING-H2_WAVH2	 - 	cl17238
Pt_Chr0100123	specific	464221	516	563	3.33415e-13	64.9413	pfam14624	Vwaint	C	cl20594
Pt_Chr0100124	superfamily	476817	1	559	0	809.641	cl38930	AmyAc_family superfamily	 - 	 - 
Pt_Chr0100125	specific	177784	1	158	9.25772e-102	288.932	PLN00190	PLN00190	 - 	cl29891
Pt_Chr0100126	specific	464058	25	407	4.03208e-78	250.742	pfam13968	DUF4220	 - 	cl16508
Pt_Chr0100126	specific	461358	565	619	3.25864e-22	89.9027	pfam04578	DUF594	 - 	cl04605
Pt_Chr0100128	specific	464058	25	409	5.50977e-79	253.053	pfam13968	DUF4220	 - 	cl16508
Pt_Chr0100128	specific	461358	567	621	2.61322e-22	90.2879	pfam04578	DUF594	 - 	cl04605
Pt_Chr0100129	specific	442196	274	399	8.30532e-09	56.2759	COG2956	LapB	NC	cl34526
Pt_Chr0100131	specific	443813	200	309	7.32414e-09	53.6572	COG4783	BepA	 - 	cl34820
Pt_Chr0100133	specific	460189	324	379	8.22442e-08	49.0293	pfam01391	Collagen	 - 	cl22949
Pt_Chr0100133	superfamily	223021	207	423	0.000159595	44.9293	cl33720	PHA03247 superfamily	N	 - 
Pt_Chr0100133	superfamily	129705	406	533	0.000383298	43.419	cl31020	sbcc superfamily	NC	 - 
Pt_Chr0100134	superfamily	472175	3	109	9.35108e-08	49.5688	cl11403	pepsin_retropepsin_like superfamily	NC	 - 
Pt_Chr0100135	superfamily	449517	31	74	9.60003e-06	40.3569	cl15242	BfiI_C_EcoRII_N_B3 superfamily	N	 - 
Pt_Chr0100137	superfamily	483947	41	386	4.53883e-82	256.285	cl49607	ASKHA_ATPase-like superfamily	 - 	 - 
Pt_Chr0100139	superfamily	178715	21	420	3.76408e-173	490.285	cl30451	PLN03171 superfamily	 - 	 - 
Pt_Chr0100140	specific	400284	85	307	1.24661e-56	185.877	pfam07859	Abhydrolase_3	 - 	cl21494
Pt_Chr0100142	specific	410687	95	521	0	582.242	cd11064	CYP86A	 - 	cl41757
Pt_Chr0100143	specific	433576	27	52	0.00692486	32.6015	pfam13912	zf-C2H2_6	 - 	cl16471
Pt_Chr0100145	superfamily	448251	4	73	1.00019e-10	53.5775	cl11425	PSI_PSAK superfamily	C	 - 
Pt_Chr0100149	specific	410687	75	500	0	632.703	cd11064	CYP86A	 - 	cl41757
Pt_Chr0100150	specific	410687	68	505	0	632.318	cd11064	CYP86A	 - 	cl41757
Pt_Chr0100151	specific	441893	222	513	9.49149e-60	202.834	COG2319	WD40	N	cl43672
Pt_Chr0100151	specific	400774	67	131	1.91978e-34	123.779	pfam08606	Prp19	 - 	cl07284
